producto,ingredientes,descripcion,marca,costo
Chocolate caliente,"Chocolate caliente: Mezcla instantánea de chocolate, preparada con agua caliente. De sabor dulce y textura cremosa.","Chocolate caliente: Mezcla instantánea de chocolate, preparada con agua caliente. De sabor dulce y textura cremosa.",Camaleón,500.0
Choripan Angus,"Pan Baguette - Chorizo Angus.
Incluye : Pebre (tomate picado, cebolla, cilantro).","Pan Baguette - Chorizo Angus.
Incluye : Pebre (tomate picado, cebolla, cilantro).",Camaleón,500.0
Chucrut,"elaboracion de verdura cocida, repollo fermentado .","elaboracion de verdura cocida, repollo fermentado .",Camaleón,500.0
Churrasco Camaleón,"Jugoso churrasco de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada, todo en un delicioso pan brioche.","Jugoso churrasco de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada, todo en un delicioso pan brioche.",Camaleón,500.0
Churrasco Chacarero,"Churrasco de vacuno acompañado con poroto verde, tomate fresco laminado y ají verde, servido en un pan brioche.","Churrasco de vacuno acompañado con poroto verde, tomate fresco laminado y ají verde, servido en un pan brioche.",Camaleón,500.0
Churrasco Clásico,"Churrasco de vacuno acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.","Churrasco de vacuno acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.",Camaleón,500.0
Churrasco Clásico,"Churrasco de vacuno con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.","Churrasco de vacuno con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.",Camaleón,500.0
Churrasco Italiano,Churrasco de vacuno acompañado de palta fresca y tomate laminado en un pan brioche dorado.,Churrasco de vacuno acompañado de palta fresca y tomate laminado en un pan brioche dorado.,Camaleón,500.0
Churrasco luco,Churrasco de vacuno acompañado queso fundido en un pan brioche dorado.,Churrasco de vacuno acompañado queso fundido en un pan brioche dorado.,Camaleón,500.0
Churros españoles,Dos churros dorados y espolvoreados con azúcar flor. (2 unidades),Dos churros dorados y espolvoreados con azúcar flor. (2 unidades),Camaleón,500.0
Churros españoles  ind.,churro dorados y polvoreados con azúcar flor.,churro dorados y polvoreados con azúcar flor.,Camaleón,500.0
Churros Rellenos,Un churro relleno con un toque de dulzura.,Un churro relleno con un toque de dulzura.,Camaleón,500.0
Donuts,"Fresca Donuts tradicional, con una exquisita cubierta de chocolate.","Fresca Donuts tradicional, con una exquisita cubierta de chocolate.",Camaleón,500.0
Empanadas cóctel,Tres empanaditas con masa crujiente y relleno de queso fundido. (porcion 3 unidades),Tres empanaditas con masa crujiente y relleno de queso fundido. (porcion 3 unidades),Camaleón,500.0
Empanadas de pino,Deliciosa masa tradicional  empanadas de pino carne picada.,Deliciosa masa tradicional  empanadas de pino carne picada.,Camaleón,500.0
Grafica Personalizada,,,Camaleón,500.0
Granizado,"Hielo frappé, en variedades de sabores y colores en vaso de plástico.","Hielo frappé, en variedades de sabores y colores en vaso de plástico.",Camaleón,500.0
Hamburguesa Clásica (Sin burguer),"Hamburguesa jugosa con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.","Hamburguesa jugosa con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.",Camaleón,500.0
Hamburguesa Especial,"Deliciosa hamburguesa con queso mantecoso derretido, palta fresca, tomate laminado, lechuga y cebolla caramelizada, todo en un suave pan brioche.","Deliciosa hamburguesa con queso mantecoso derretido, palta fresca, tomate laminado, lechuga y cebolla caramelizada, todo en un suave pan brioche.",Camaleón,500.0
Hamburguesa Italiana,Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.,Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.,Camaleón,500.0
Hamburguesa Italiana (Sin burguer),Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.,Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.,Camaleón,500.0
Hamburguesa Italiana Camaleón,"Deliciosa hamburguesa con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.","Deliciosa hamburguesa con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.",Camaleón,500.0
Vegetariana Italiana Camaleón,"Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.","Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.",Camaleón,500.0
Hamburguesa Tejana Camaleón,"Jugosa hamburguesa con queso fundido, tocino crujiente, cebolla crispy y un toque de BBQ en un pan brioche dorado.","Jugosa hamburguesa con queso fundido, tocino crujiente, cebolla crispy y un toque de BBQ en un pan brioche dorado.",Camaleón,500.0
Hamburguesas clasicas,"Sabrosa hamburguesa acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.","Sabrosa hamburguesa acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.",Camaleón,500.0
Helado Soft,"Helado cremoso de vainilla, chocolate o mixto en barquillo crujiente.","Helado cremoso de vainilla, chocolate o mixto en barquillo crujiente.",Camaleón,500.0
Helado Sundae,"Helado cremoso en vaso, sabor vainilla, chocolate o mixto, con salsa de manjar, chocolate o frambuesa.","Helado cremoso en vaso, sabor vainilla, chocolate o mixto, con salsa de manjar, chocolate o frambuesa.",Camaleón,500.0
Horario nocturno,Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador),Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador),Camaleón,500.0
Horas extras,horarario extendido servicio con operador. ($10.000 por cada operado).,horarario extendido servicio con operador. ($10.000 por cada operado).,Camaleón,500.0
Hot dog (salchichas Montina)  Italiano.,"La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua 17 cm diametro.","La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua 17 cm diametro.",Camaleón,500.0
Hot Dog Completo,"Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde","Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde",Camaleón,500.0
Hot Dog Venezolano,"Salchicha sureña con papas hilo, ensalada repollo/zanahoria, queso parmesano rallado.","Salchicha sureña con papas hilo, ensalada repollo/zanahoria, queso parmesano rallado.",Camaleón,500.0
Hot dog.,"La clásica combinación de salchicha sureña,envuelta en un suave pan Lengua.  + salsas : Mayonesa, ketchup y mostaza.","La clásica combinación de salchicha sureña,envuelta en un suave pan Lengua.  + salsas : Mayonesa, ketchup y mostaza.",Camaleón,500.0
HotDog Camaleón,"Salchicha sureña con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.","Salchicha sureña con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.",Camaleón,500.0
HotDog camaleon vegetariano,"Salchicha mr veggie con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.","Salchicha mr veggie con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.",Camaleón,500.0
HotDog Italiano,"La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua.","La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua.",Camaleón,500.0
HotDog italiano vegetariano,"La clásica combinación de salchicha MR VEGGIE, palta fresca y tomate cubo, envuelta en un suave pan Lengua.","La clásica combinación de salchicha MR VEGGIE, palta fresca y tomate cubo, envuelta en un suave pan Lengua.",Camaleón,500.0
ingrediente extra,porciones de champiñon.,porciones de champiñon.,Camaleón,500.0
Ingredientes extra,porciones de salsa americana + chucrut.,porciones de salsa americana + chucrut.,Camaleón,500.0
Liquidos calientes,"Café, té, leche y/o infusiones.","Café, té, leche y/o infusiones.",Camaleón,500.0
Liquidos Frios,"Jugos jumex o golden juice  y  Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.","Jugos jumex o golden juice  y  Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.",Camaleón,500.0
Lomito Camaleón,"Sabrosa carne de cerdo con queso, palta fresca, tomate y cebolla caramelizada, en un suave pan brioche.","Sabrosa carne de cerdo con queso, palta fresca, tomate y cebolla caramelizada, en un suave pan brioche.",Camaleón,500.0
Lomito Italiano,Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.,Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.,Camaleón,500.0
Mani confitado,"Delicioso mani confiado, porcion de 80 gr.","Delicioso mani confiado, porcion de 80 gr.",Camaleón,500.0
Mechada,,,Camaleón,500.0
Mechada Italiana,"Mechada de vacuno con palta fresca y tomate laminado, servida en un pan brioche suave.","Mechada de vacuno con palta fresca y tomate laminado, servida en un pan brioche suave.",Camaleón,500.0
Mechada Italiana Camaleón,"Mechada de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada en un pan brioche.","Mechada de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada en un pan brioche.",Camaleón,500.0
Medialuna,Exquisita Medialuna recién horneada.,Exquisita Medialuna recién horneada.,Camaleón,500.0
Mini AS Italiano,"Vacuno con palta fresca y tomate, servido en un mini pan baguette.","Vacuno con palta fresca y tomate, servido en un mini pan baguette.",Camaleón,500.0
Mini AS Luco,Vacuno con queso fundido en un mini pan baguette.,Vacuno con queso fundido en un mini pan baguette.,Camaleón,500.0
Mini Burger Cheese,"Mini hamburguesa casera con queso derretido, BBQ y cebolla caramelizada en un mini pan amasado.","Mini hamburguesa casera con queso derretido, BBQ y cebolla caramelizada en un mini pan amasado.",Camaleón,500.0
Mini Burger Clásica,"Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.","Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.",Camaleón,500.0
Mini Burger especial,"Mini hamburguesa con queso, tocino, champiñon lechuga crujiente salsa bbq, en un delicioso mini pan amasado.","Mini hamburguesa con queso, tocino, champiñon lechuga crujiente salsa bbq, en un delicioso mini pan amasado.",Camaleón,500.0
Mini Burger Italiana,"Mini hamburguesa con palta fresca y tomate, servida en un mini pan amasado.","Mini hamburguesa con palta fresca y tomate, servida en un mini pan amasado.",Camaleón,500.0
Mini Churrasco Italiano,Churrasco de vacuno con palta fresca y tomate laminado en un mini pan amasado.,Churrasco de vacuno con palta fresca y tomate laminado en un mini pan amasado.,Camaleón,500.0
Mini HotDog Italiano,"Salchicha sureña con palta fresca y tomate cubo, envuelta en un mini pan baguette.","Salchicha sureña con palta fresca y tomate cubo, envuelta en un mini pan baguette.",Camaleón,500.0
Mini Lomito Italiano,Lomito de cerdo con palta fresca y tomate cubo en un mini pan amasado.,Lomito de cerdo con palta fresca y tomate cubo en un mini pan amasado.,Camaleón,500.0
Mini Mechada Italiana,Mechada de vacuno con palta fresca y tomate en un mini pan amasado.,Mechada de vacuno con palta fresca y tomate en un mini pan amasado.,Camaleón,500.0
Mix Dulces chilenos,3 unidades,3 unidades,Camaleón,500.0
Modulo grande,"Medidas:     grafica frontal inferior 155,5  largo x 83 cm /  Grafica cenefa superior: 155,5 largo x 15 cm ancho","Medidas:     grafica frontal inferior 155,5  largo x 83 cm /  Grafica cenefa superior: 155,5 largo x 15 cm ancho",Camaleón,500.0
Mote con huesillo.,"Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén","Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén",Camaleón,500.0
Fruta.,"Naranja, manzana o platano.","Naranja, manzana o platano.",Camaleón,500.0
Muffin,"Muffin tradicional con exquisitos chips de chocolate, o con refrescantes arándonos.","Muffin tradicional con exquisitos chips de chocolate, o con refrescantes arándonos.",Camaleón,500.0
not burguer (INTERCAMBIO),Hamburguesa vegetariana hecha en base a plantas,Hamburguesa vegetariana hecha en base a plantas,Camaleón,500.0
Not burguer clasica,"Sabrosa not burguer  acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.","Sabrosa not burguer  acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.",Camaleón,500.0
Not burguer Italiana Camaleón,"Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.","Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.",Camaleón,500.0
NOTburger italiana,Sabrosa Not butguer con palta fresca y tomate laminado en un suave pan brioche.,Sabrosa Not butguer con palta fresca y tomate laminado en un suave pan brioche.,Camaleón,500.0
Nuggets,Tres piezas de nuggets de pollo dorados y tiernos.,Tres piezas de nuggets de pollo dorados y tiernos.,Camaleón,500.0
Operador a cargo de la entrega de productos.,,,Camaleón,500.0
Pack individual,"Caja Box
2 empandas de pino : Deliciosa masa tradicional empanadas de pino carne picada.  3.100 c/u
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional.   $1.500
1 Caja box  1.300","Caja Box
2 empandas de pino : Deliciosa masa tradicional empanadas de pino carne picada.  3.100 c/u
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional.   $1.500
1 Caja box  1.300",Camaleón,500.0
Papas Fritas,Porción de 150 grs de papas frita.,Porción de 150 grs de papas frita.,Camaleón,500.0
Papas Smile,Porcion de papas fritas smile 6 unidades.,Porcion de papas fritas smile 6 unidades.,Camaleón,500.0
Personal extra,Operadores de servicio extra.,Operadores de servicio extra.,Camaleón,500.0
Pizza individual 20 cms,Pizza medida especial 20 cms.,Pizza medida especial 20 cms.,Camaleón,500.0
Pizza Jamón queso,"Pizza individual con jamón, queso derretido y orégano.","Pizza individual con jamón, queso derretido y orégano.",Camaleón,500.0
Pizza Pepperoni,Pizza individual con pepperoni crujiente y queso derretido.,Pizza individual con pepperoni crujiente y queso derretido.,Camaleón,500.0
Pizza Veggie,"Queso fundido, aceitunas, espárragos y granos de choclo sobre salsa de tomate.","Queso fundido, aceitunas, espárragos y granos de choclo sobre salsa de tomate.",Camaleón,500.0
Pizzeta Jamón Queso,"Dos mini pizzetas con jamón, queso derretido y un toque de orégano.","Dos mini pizzetas con jamón, queso derretido y un toque de orégano.",Camaleón,500.0
Pizzeta Pepperoni,Dos mini pizzetas con pepperoni y queso gratinado.,Dos mini pizzetas con pepperoni y queso gratinado.,Camaleón,500.0
Pizzeta Veggie,"Dos mini pizzetas con choclo, pimentón y aceitunas.","Dos mini pizzetas con choclo, pimentón y aceitunas.",Camaleón,500.0
Pop Corn,"Maíz inflado y crujiente, servido en un cono de papel.","Maíz inflado y crujiente, servido en un cono de papel.",Camaleón,500.0
Pop Corn Envasadas,Pop corn envasado en vaso de 12 oz,Pop corn envasado en vaso de 12 oz,Camaleón,500.0
Queso Cheddar,"Queso cheddar derretido y suave, con un sabor intenso.","Queso cheddar derretido y suave, con un sabor intenso.",Camaleón,500.0
Queso Mantecoso,"Queso mantecoso cremoso y suave, perfecto para añadir un toque especial.","Queso mantecoso cremoso y suave, perfecto para añadir un toque especial.",Camaleón,500.0
Retiro salchichas tienda montina,,,Camaleón,500.0
Salchipapas.,"Papa pre frita y salchicha pf sureña, porción estandar 250gr , con  opcion de ser condimentadas","Papa pre frita y salchicha pf sureña, porción estandar 250gr , con  opcion de ser condimentadas",Camaleón,500.0
Salsa Americana,"Salsa americana, sabrosa y llena de sabor.","Salsa americana, sabrosa y llena de sabor.",Camaleón,500.0
Salsa Verde,"Salsa verde fresca, con un toque de acidez y hierbas.","Salsa verde fresca, con un toque de acidez y hierbas.",Camaleón,500.0
Sopaipillas.,"sopaipilla porcion de 2 unidades incluye pebre, tamaño estandar","sopaipilla porcion de 2 unidades incluye pebre, tamaño estandar",Camaleón,500.0
Supervisor a cargo del servicio.,,,Camaleón,500.0
Personal adiconal,"Operador para montaje, servir espumante y vino.","Operador para montaje, servir espumante y vino.",Camaleón,500.0
"traslado, montaje, desmontaje, carritos dia del evento.","Pepinillos dulces, crocantes y llenos de sabor.","Pepinillos dulces, crocantes y llenos de sabor.",Camaleón,500.0
Traslados a 5 puntos simultaneos.,Traslados a 5 puntos.,Traslados a 5 puntos.,Camaleón,500.0
Vaso de fruta.,Vaso con mix frutas de las temporada.,Vaso con mix frutas de las temporada.,Camaleón,500.0
Vaso Desechale,Vaso desechable.,Vaso desechable.,Camaleón,500.0
Waffles,"Waffles recién hechos con plátano, frutillas y salsa de chocolate.","Waffles recién hechos con plátano, frutillas y salsa de chocolate.",Camaleón,500.0
Wraps Mechada Camaleón,"Mechada de vacuno con mix de lechugas, guacamole fresco, queso granulado y crema ácida, en una tortilla suave.","Mechada de vacuno con mix de lechugas, guacamole fresco, queso granulado y crema ácida, en una tortilla suave.",Camaleón,500.0
Wraps Mechada Clásica,"Deliciosa mechada de vacuno con mix de lechugas, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla suave.","Deliciosa mechada de vacuno con mix de lechugas, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla suave.",Camaleón,500.0
Wraps Mixto Camaleón,"Sabrosa mezcla de vacuno y pollo con lechuga fresca, guacamole y queso granulado, cebolla caremelizada, porotos negros, envuelto en una tortilla.","Sabrosa mezcla de vacuno y pollo con lechuga fresca, guacamole y queso granulado, cebolla caremelizada, porotos negros, envuelto en una tortilla.",Camaleón,500.0
Wraps Mixto Clásico,"Mezcla de vacuno y pollo con lechugas frescas, guacamole y queso granulado, todo en una suave tortilla.","Mezcla de vacuno y pollo con lechugas frescas, guacamole y queso granulado, todo en una suave tortilla.",Camaleón,500.0
Wraps Pollo Camaleón,"Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.","Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.",Camaleón,500.0
Wraps Pollo Clásico,"Pollo con lechuga fresca, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla.","Pollo con lechuga fresca, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla.",Camaleón,500.0
Mini wraps pollo Clásico,"Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.","Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.",Camaleón,500.0
Wraps Vacuno Camaleón,"Vacuno con lechuga fresca, guacamole, queso granulado y crema ácida, envuelto en una suave tortilla.","Vacuno con lechuga fresca, guacamole, queso granulado y crema ácida, envuelto en una suave tortilla.",Camaleón,500.0
Wraps Vacuno Clásico,"Vacuno con mix de lechugas, exquisito guacamole, queso granulado y crema ácida, envuelto en una tortilla.","Vacuno con mix de lechugas, exquisito guacamole, queso granulado y crema ácida, envuelto en una tortilla.",Camaleón,500.0
Coffee AM,Jugo / Café / Muffin,Jugo / Café / Muffin,Camaleón,500.0
Helado Paleta,Variedad helados envasados,Variedad helados envasados,Camaleón,500.0
Estación de frutas,"Manzana, Pera, Naranja.","Manzana, Pera, Naranja.",Camaleón,500.0
Estación de Hidratación,Estación de agua purificada ilimitada,Estación de agua purificada ilimitada,Camaleón,500.0
Jugo en caja,Jugo en formato caja Watts.,Jugo en formato caja Watts.,Camaleón,500.0
Empanadas de queso,Exquisita empanada de queso.,Exquisita empanada de queso.,Camaleón,500.0
Pizza Individual,Exquisita pizza individual / variedad de sabores.,Exquisita pizza individual / variedad de sabores.,Camaleón,500.0
Pizzeta,Irresisteble pizzeta con variedad de sabores. 2 unidades por porción.,Irresisteble pizzeta con variedad de sabores. 2 unidades por porción.,Camaleón,500.0
Algodón de azúcar envasado,Algodón de azúcar envasado en vaso de 12 oz,Algodón de azúcar envasado en vaso de 12 oz,Camaleón,500.0
Brocheta de Frutillas,Palito con frutillas con salsa de chocolate.,Palito con frutillas con salsa de chocolate.,Camaleón,500.0
Jugo Guallarauco,Jugo en vaso 10oz c/tapa y bombilla. 2 sabores.,Jugo en vaso 10oz c/tapa y bombilla. 2 sabores.,Camaleón,500.0
Carro Vintage,Montaje de carrito Vintage/Blanco,Montaje de carrito Vintage/Blanco,Camaleón,500.0
Porción pepinillos,Porción extra pepinillos dill,Porción extra pepinillos dill,Camaleón,500.0
Tapaditos,"Exquisitos tapaditos para coffee break, variedad de sabores a elección.","Exquisitos tapaditos para coffee break, variedad de sabores a elección.",Camaleón,500.0
Cheese Burger,"Sabrosa hamburguesa acompañado con queso, servida en un pan brioche.","Sabrosa hamburguesa acompañado con queso, servida en un pan brioche.",Camaleón,500.0
Anticucho Especial,"Brocheta de mix de carnes Ariztia y verduras (pimentón, cebolla)","Brocheta de mix de carnes Ariztia y verduras (pimentón, cebolla)",Camaleón,500.0
Horario Especial,"Horario especial operadores (madrugada, a.m)","Horario especial operadores (madrugada, a.m)",Camaleón,500.0
Sticker Pop Corn,Sticker 5 cms de diámetro para Vaso Pop Corn,Sticker 5 cms de diámetro para Vaso Pop Corn,Camaleón,500.0
Pop corn vaso 500cc,Pop corn crujiente en vaso de 500cc,Pop corn crujiente en vaso de 500cc,Camaleón,500.0
Algodón de azúcar vaso 500cc,Exquisito algodón de azúcar en vaso de 500cc,Exquisito algodón de azúcar en vaso de 500cc,Camaleón,500.0
Hamburguesa especial 250grs,"Hamburguesa 250 grs con queso y lechuga, todo en un exquisito pan Brioche","Hamburguesa 250 grs con queso y lechuga, todo en un exquisito pan Brioche",Camaleón,500.0
Caja churro,Caja para churro personal externo.,Caja para churro personal externo.,Camaleón,500.0
Churros españoles x3,Tres churros dorados y espolvoreados con azúcar flor.,Tres churros dorados y espolvoreados con azúcar flor.,Camaleón,500.0
Choripan ariztia,"Pan Marraqueta - Chorizo ariztia
Incluye : Pebre (tomate picado, cebolla, cilantro).  + salsas : Mayonesa, ketchup y mostaza.","Pan Marraqueta - Chorizo ariztia
Incluye : Pebre (tomate picado, cebolla, cilantro).  + salsas : Mayonesa, ketchup y mostaza.",Camaleón,500.0
Personal general,"personal general : choferes, operadores a cargo del entrega, montaj y entrega de productos","personal general : choferes, operadores a cargo del entrega, montaj y entrega de productos",Camaleón,500.0
Hornos,2 hornosa electricos,2 hornosa electricos,Camaleón,500.0
Salsas  extras,"Chucrut,   pepinillos dill y  salsaverde","Chucrut,   pepinillos dill y  salsaverde",Camaleón,500.0
montaje,carros a gas + 2 modulos entrega + estacion papas fritas + maquina pop corn.  + Maquina helados ( 6 operadores),carros a gas + 2 modulos entrega + estacion papas fritas + maquina pop corn.  + Maquina helados ( 6 operadores),Camaleón,500.0
Ingrediente extra P,"Porcion pepinillos dulces, crocantes .","Porcion pepinillos dulces, crocantes .",Camaleón,500.0
entrega servicio + personal y equipamiento.,entrega servicio + personal y equipamiento.,entrega servicio + personal y equipamiento.,Camaleón,500.0
Agua mineral,Botella agua mineral formato 600 ml.,Botella agua mineral formato 600 ml.,Gourmet,500.0
Ají Verde,,,Gourmet,500.0
Algodón de azúcar,Entregadas en vaso de 360cc. Color a elección del cliente.,Entregadas en vaso de 360cc. Color a elección del cliente.,Gourmet,500.0
As Gourmet,"Pan Lengua 17 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.","Pan Lengua 17 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.",Gourmet,500.0
As Gourmet XL,"Pan Lengua 25 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.","Pan Lengua 25 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.",Gourmet,500.0
As Italiano,"Pan Lengua 17 cms, ChurrascoPicado, Palta Hass, Tomate Fresco Picado.","Pan Lengua 17 cms, ChurrascoPicado, Palta Hass, Tomate Fresco Picado.",Gourmet,500.0
As Italiano XL,"Pan Lengua 25 cms, Churrasco Picado, Palta Hass, Tomate Fresco Picado.","Pan Lengua 25 cms, Churrasco Picado, Palta Hass, Tomate Fresco Picado.",Gourmet,500.0
As Luco,"Pan Lengua 17 cms, Churrasco Picado y Queso Cheddar.","Pan Lengua 17 cms, Churrasco Picado y Queso Cheddar.",Gourmet,500.0
As Luco XL,"Pan Lengua 25 cms, Churrasco Picado y Queso Cheddar.","Pan Lengua 25 cms, Churrasco Picado y Queso Cheddar.",Gourmet,500.0
