code,name,type,classification,description,example_transactions,who_inputs,how_to_impute
1203,"Inventario - Packaging / Consumibles",asset,"Inventario","Empaques, servilletas, cajas y consumibles","Compra packaging para delivery","Operaciones / Bodega","Registrar recepción con SKU; si es consumo directo pequeño, se puede imputar a 5120 al comprar (política a definir)."
1300,"Anticipos a Proveedores",asset,"Activo","Pagos adelantados a proveedores antes de recibir bienes/servicios","Seña a proveedor para eventos","Tesorería","Registrar pago como 1300; al recibir factura, mover 1300 → gasto o inventario."
1400,"Gastos Pagados por Anticipado",asset,"Activo","Gastos pagados por adelantado que se amortizan en el tiempo","Seguro pagado por adelantado","Administración","Registrar gasto prepagado con fecha y periodo de amortización; mensualizar luego."
1500,"Activo Fijo",asset,"Activo","Bienes que duran más de un año (maquinaria, vehículos, muebles)","Compra camión, maquinaria","Administración","1) Crear ficha del activo, adjuntar FA/Factura. 2) Imputar a 1500. 3) Definir vida útil para depreciación."
1501,"Depreciación Acumulada",contra-asset,"Activo","Cuenta acumulada de la depreciación de activos fijos","Depreciación mensual","Administración / Contabilidad","Registrar asiento mensual: Debit 6230 Depreciación / Credit 1501."
2000,"Cuentas por Pagar - Proveedores",liability,"Pasivo","Proveedores con facturas pendientes de pago","Factura proveedor insumos","Administración","1) Registrar factura proveedor con fecha, importe, IVA y cuenta destino (1201/5120/6210). 2) Planear pago."
2100,"Líneas de Crédito / Obligaciones",liability,"Pasivo","Cuentas de líneas de crédito o préstamos","Disposición de línea de crédito","Tesorería","Registrar desembolso en 2100; intereses a 7010."
2101,"Línea de Crédito - Banco Chile",liability,"Pasivo","Cuenta específica para la línea de crédito Banco Chile","Desembolso, pagos","Tesorería","Idem 2100, marcar banco y contrato."
2102,"Intereses por Línea de Crédito",expense,"Financieros","Intereses devengados por las líneas de crédito","Intereses cobrados por banco","Tesorería/Contabilidad","Registrar interés con fecha de cargo; imputar a 7010/2102 según política."
2200,"Tarjetas de Crédito (pasivos)",liability,"Pasivo","Cuenta padre para tarjetas de crédito empresariales","Cargos en tarjeta","Tesorería","Registrar cargos y luego pagos a la entidad emisora; diferenciar por subcuentas 2201/2202/2203."
2201,"Tarjeta Ripley",liability,"Pasivo","Tarjeta Ripley - cargos y saldos","Pago de compras con Ripley","Tesorería","Registrar factura/cargo con adjunto; al pagar, registrar salida a banco."
2202,"Tarjeta Cencosud",liability,"Pasivo","Tarjeta Cencosud - cargos y saldos","Compras con Cencosud","Tesorería","Idem 2201."
2203,"Tarjeta Green",liability,"Pasivo","Tarjeta Green - cargos y saldos","Compras internas","Tesorería","Idem 2201."
2300,"Impuestos por Pagar",liability,"Pasivo","Cuenta padre impuestos","Pagos de impuestos","Contabilidad","Usar subcuentas: IVA 2301, giro 2302, retenciones 2303."
2301,"IVA por Pagar",liability,"Pasivo","IVA repercutido pendiente de pago","IVA de ventas del mes","Contabilidad","1) Al facturar: Credit 2301 IVA. 2) Al pagar SII: Debit 2301 / Credit Banco."
2302,"Impuesto Sobre Giro por Pagar",liability,"Pasivo","Impuesto municipal o giro aplicable","Impuesto calculado mensual","Contabilidad","Registrar provisión y pago cuando corresponda."
2303,"Retenciones por Pagar",liability,"Pasivo","Retenciones de honorarios o impuestos retenidos","Retención 10% honorarios","Contabilidad","Registrar retención en el periodo y pagar según calendario."
2400,"Provisiones",liability,"Pasivo","Cuenta padre para provisiones varias","Provisiones de comisiones","Contabilidad","Usar subcuentas 2401/2402 para provisiones específicas; registrar devengo y reversar al pago."
2401,"Provisión Comisiones por Pagar",liability,"Pasivo","Provisión de comisiones a vendedores","Provisión mensual comisiones","Contabilidad / RRHH","1) Al confirmar venta: Debit 6130 / Credit 2401. 2) Al pagar: Debit 2401 / Credit Banco."
2402,"Provisión Bonos / Incentivos",liability,"Pasivo","Provisión de bonos a empleados","Bono trimestral","Contabilidad","Registrar devengo y liquidar al pagar."
2500,"Ingresos Diferidos (anticipos)",liability,"Pasivo","Anticipos de clientes que aún no se reconocen como ingreso","Seña de evento","Administración","1) Al recibir anticipo: Debit Banco / Credit 2500. 2) Al realizar servicio: Debit 2500 / Credit 411x (ingreso)."
3000,"Capital / Patrimonio",equity,"Patrimonio","Capital social / aporte de socios","Aportes iniciales","Contabilidad","No imputar gastos aquí; solo movimientos de capital y utilidades."
3100,"Utilidades Retenidas",equity,"Patrimonio","Resultados acumulados","Cierre anual","Contabilidad","Movimientos al cierre de ejercicio."
4000,"Ingresos Totales",revenue,"Ingreso","Cuenta padre de ingresos","Total facturado","Administración / Ventas","No imputar directo: usar subcuentas por marca 4110–4150."
4110,"Ingresos - CAMALEON",revenue,"Ingresos","Ventas de la marca CAMALEON (evento/pedido)","Factura evento Camaleon","Ventas / Administración","Al facturar: seleccionar 4110 y poner analytic_tag=event_id/brand."
4120,"Ingresos - GOURMET",revenue,"Ingresos","Ventas de la marca GOURMET","Factura evento Gourmet","Ventas / Administración","Idem 4110."
4130,"Ingresos - EXPRESS",revenue,"Ingresos","Ventas de la marca EXPRESS","Ventas Express","Ventas / Administración","Idem 4110."
4140,"Ingresos - ROLFI",revenue,"Ingresos","Ventas de la marca ROLFI (Brontos + Camaleon local rápido)","Ventas Rolfi delivery","Ventas / Administración","Idem 4110."
4150,"Ingresos - DEL SABOR",revenue,"Ingresos","Ventas de la marca DEL SABOR","Ventas Del Sabor","Ventas / Administración","Idem 4110."
4200,"Ingresos por Alquiler / Servicios",revenue,"Ingreso","Ingresos por alquiler de equipos/salones o servicios","Alquiler equipo para evento","Administración","Registrar ingreso con cuenta 4200 y analytic_tag si corresponde."
4300,"Devoluciones y Descuentos",revenue,"Ingreso negativo","Ajustes por devoluciones o descuentos","Devolución por plato devuelto","Administración","Registrar como valor negativo: afecta ingresos netos."
5000,"COGS Total",expense,"COGS","Cuenta padre de costos directos","Suma COGS por evento","Operaciones / Contabilidad","No imputar directo: usar subcuentas 5100–5170."
5100,"COGS - Alimentos (ingredientes)",expense,"COGS","Costo de ingredientes consumidos por evento","Consumo arroz, carne","Operaciones / Contabilidad","1) Consumir stock: Debit 5100 / Credit 1201. 2) Adjuntar guia de consumo o receta/BOM."
5110,"COGS - Bebidas",expense,"COGS","Costo de bebidas por evento","Consumo bebidas","Operaciones / Contabilidad","Idem 5100 pero contra 1202."
5120,"COGS - Packaging / Consumibles",expense,"COGS","Packaging usado en delivery/eventos","Cajas, servilletas","Operaciones / Contabilidad","Al consumo: Debit 5120 / Credit 1203."
5130,"COGS - Combustible / Transporte directo por evento",expense,"COGS","Transporte atribuible directamente a una entrega/evento","Combustible repartos eventos","Operaciones / Contabilidad","Si es atribuible: imputar con analytic_tag al evento; 1) Registrar rendición con boleta. 2) Debit 5130 / Credit Banco o 1001."
5140,"COGS - Mano de obra directa (staff evento)",expense,"COGS","Sueldos directamente asignados a un evento","Personal extra contratado para evento","RRHH / Contabilidad","1) Al cerrar evento: asignar horas y coste. 2) Debit 5140 / Credit sueldos por pagar (220x) o banco si pagado."
5150,"COGS - Servicios subcontratados por evento",expense,"COGS","Servicios externos (cocina externa, DJ) facturados por evento","Factura DJ para evento","Operaciones / Contabilidad","Registrar factura proveedor y asignar analytic_tag del evento; Debit 5150 / Credit 2000."
5160,"COGS - Alquileres prorrateados eventos",expense,"COGS","Alquileres de salas/equipos prorrateados a eventos","Alquiler salón para boda","Operaciones / Contabilidad","Prorratear por número de eventos o días: Debit 5160 / Credit 2000/2100 según se pague."
5170,"Mermas / Pérdidas de Existencias",expense,"COGS","Pérdidas de stock por merma o robo","Mermas en bodega","Operaciones / Contabilidad","Registrar ajuste de inventario: Debit 5170 / Credit 1201 (o 120x)."
6000,"Gastos Operativos Totales",expense,"Operacional","Padre de gastos operativos generales","Suma de gastos operaciones","Administración","Usar subcuentas operacionales."
6100,"Transporte y Logística - Operacional",expense,"Operacional","Gastos por transporte que no se asignan por evento","Bencina diaria de camiones","Operaciones","Registrar como gasto operativo si no se asigna a evento: Debit 6100 / Credit Banco."
6101,"Mantención Vehículos (operacional)",expense,"Operacional","Mantenimiento general de la flota","Reparación taller","Operaciones","Adjuntar factura, seleccionar 6101, guardar."
6102,"Mantención Camiones",expense,"Operacional","Mantenimientos mayores de camiones","Cambio motor, taller grande","Operaciones","Mismo proceso; si directamente ligado a evento y facturable al cliente, prorratear a 5160."
6103,"Flete y Traslados (no atribuido a evento)",expense,"Operacional","Costos de transporte generales","Transporte de insumos entre locales","Operaciones","Registrar factura en 6103."
6104,"Operadores (gastos de operadores recurrentes)",expense,"Operacional","Pagos a operadores regulares","Pago mensual operadores","Operaciones","Registrar nómina o factura según convenio."
6140,"Marketing y Publicidad",expense,"Operacional","Gastos de marketing, campañas y medios","Publicidad en Instagram","Marketing / Administración","1) Adjuntar comprobante/campaña. 2) Seleccionar 6140. 3) Indicar la marca si aplica."
6150,"Servicios Profesionales (Contabilidad / Legal)",expense,"Operacional","Gastos por asesorías y servicios externos","Factura estudio contable","Administración","Registrar factura a 6150, adjuntar contrato si existe."
6160,"Servicios Básicos (contratos operativos)",expense,"Operacional","Servicios que mantiene la operación (contratos)","Servicio de limpieza contrato","Operaciones","Registrar y asignar a 6160."
6190,"Seguros (generales)",expense,"Operacional","Seguros del negocio (bienes, flota, etc.)","Seguro vehículos, locales","Administración","Registrar póliza anual; amortizar según periodo si corresponde."
6210,"Sueldos Administrativos",expense,"Administrativo","Sueldos del personal administrativo (no directos)","Sueldos Gerencia, Admin","RRHH / Contabilidad","1) Registrar nómina mensual. 2) Indicar si parte corresponde a COGS (marcar porcentaje directo)."
6211,"Cargas Sociales - Administrativos",expense,"Administrativo","Imposiciones y cargas sobre sueldos administrativos","Imponible y cotizaciones","RRHH / Contabilidad","Registrar cálculo de cargas y provéelas acorde nómina."
6212,"Rendiciones / Reembolsos",expense,"Administrativo","Gastos reembolsables a empleados","Gasto de viaje reembolsado","Administración","1) Subir boleta y formulario de rendición. 2) Seleccionar 6212. 3) Pagar y conciliar."
6220,"Telefonía Ejecutivos / Celulares",expense,"Administrativo","Teléfonos de ejecutivos y planes móviles","Plan celular ejecutivo","Administración","Registrar factura y asignar al ejecutivo si se quiere prorratear."
6221,"Uber / Movilidad Ejecutivos",expense,"Administrativo","Gastos puntuales de movilidad","Uber cliente/ejecutivo","Administración","Subir comprobante y asignar 6221."
6222,"Almuerzos / Gastos de Representación",expense,"Administrativo","Gastos de comida para reuniones, representación","Almuerzo con cliente","Administración","Adjuntar factura y justificar con nota; imputar 6222."
6223,"Papelería / Toners / Fotocopias / Impresos",expense,"Administrativo","Materiales de oficina","Compra toner impresora","Administración","Registrar factura y asignar 6223."
6224,"Servicios Profesionales (Contabilidad / Legal)",expense,"Administrativo","Duplicidad opcional con 6150; aquí para gastos admin puntuales","Asesoría legal puntual","Administración","Usar la subcuenta que corresponda según política interna."
6225,"Otros Gastos Administrativos",expense,"Administrativo","Gastos varios de oficina no clasificados","Pequeños suministros","Administración","Registrar con evidencia y asignar 6225."
6300,"Gastos Fijos Totales",expense,"Fijo","Padre para gastos fijos recurrentes (agua, luz, internet)","Suma fija mensual","Administración","Usar subcuentas 6310–6323."
6310,"Arriendo Locales",expense,"Fijo","Pago de arriendo de locales y sucursales","Pago mensual arriendo local","Administración","Registrar contrato y pago; si prorrateas por marca, asignar analytic_tag por local."
6311,"Gastos Comunes",expense,"Fijo","Gastos comunes de edificios","Gastos condominio local","Administración","Registrar recibo y asignar 6311."
6320,"Agua",expense,"Fijo","Gasto de agua de locales","Boleta agua","Administración","Registrar boleta y asignar local si corresponde."
6321,"Luz / Electricidad",expense,"Fijo","Consumo eléctrico de locales","Boleta luz","Administración","Registrar boleta; si se usa por marca, prorratear."
6322,"Internet / Telefonía Fija",expense,"Fijo","Servicio de internet fijo y telefonía","Cobro ISP mensual","Administración","Registrar factura y asignar local o central."
6323,"Gas (local)",expense,"Fijo","Gas para locales (calefacción/cocinas)","Boleta gas local","Administración","Registrar factura y asignar local."
6191,"Seguro Desgravamen y otros seguros",expense,"Operacional","Seguros financieros y específicos","Seguro desgravamen GD","Administración","Registrar póliza y asignar periodo de gasto."
6230,"Depreciación y Amortización",expense,"Operacional","Gasto mensual por depreciación","Depreciación camión","Contabilidad","Asiento mensual: Debit 6230 / Credit 1501."
7000,"Gastos e Ingresos Financieros","expense,revenue","Financieros","Padre para resultados financieros","Intereses, diferencias de cambio","Tesorería / Contabilidad","Usar subcuentas 7010–7030."
7010,"Intereses Pagados",expense,"Financieros","Intereses por préstamos y líneas","Interés línea crédito","Tesorería","Registrar cargo de interés y explicar contrato."
7011,"Intereses Ganados",revenue,"Financieros","Intereses a favor de la empresa","Interés cuenta bancaria","Tesorería","Registrar ingreso cuando lo reporta el banco."
7020,"Gastos Bancarios y Comisiones",expense,"Financieros","Gastos por servicios bancarios","Gastos de transferencias internacionales","Tesorería","Registrar factura banco y asignar 7020."
7021,"Comisiones Transbank / Getnet",expense,"Financieros","Comisiones cobradas por pasarelas/TPV","Fee Transbank por venta con tarjeta","Tesorería","Registrar fees: Debit 7021 / Credit 1005 (clear) o 1002 (si ya pagó)."
7030,"Diferencias de Cambio",expense,revenue,"Financieros","Pérdidas o ganancias por tipo de cambio","Ganancia en pago extranjero","Tesorería / Contabilidad","Registrar cuando existan operaciones en moneda distinta."
8000,"Impuestos y Tributos",expense,"Impuestos","Padre de impuestos varios","Sumatoria tributos","Contabilidad","Usar subcuentas 8001–8003."
8001,"Impuesto a la Renta - Provisión",expense,"Impuestos","Provisión anual/periodica de impuesto a la renta","Provisión mensual/ trimestral","Contabilidad","Registrar provisión y ajustar al pago de impuesto anual."
8002,"IVA No Recuperable",expense,"Impuestos","IVA que no es recuperable por normativa","IVA en compra sin derecho a crédito","Contabilidad","Registrar IVA no acreditable en 8002 al consumir."
8003,"Multas y Sanciones",expense,"Impuestos","Multas administrativas o fiscales","Multa SII","Administración / Contabilidad","Registrar con documentación y explicación."
9000,"Intercompany",other,"Intercompany","Cuentas para movimientos entre empresas/razones","Traspasos internos","Tesorería","No imputar como gasto operativo: usar 9001–9003."
9001,"Traspaso a GD",other,"Intercompany","Movimiento hacia Green Diamond (GD)","Traspaso de efectivo entre sociedades","Tesorería","Registrar por transferencia interna y justificar."
9002,"Traspaso a Simon U",other,"Intercompany","Movimiento hacia Simon U","Traspaso interno","Tesorería","Idem 9001."
9003,"Traspaso a Green",other,"Intercompany","Movimiento hacia Green","Traspaso interno","Tesorería","Idem 9001."
