producto	Descripcion	marca	costo
Vegetariana Italiana Camaleón	Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.	Camaleón	500
Hamburguesa Tejana Camaleón	Jugosa hamburguesa con queso fundido, tocino crujiente, cebolla crispy y un toque de BBQ en un pan brioche dorado.	Camaleón	500
Hamburguesas clasicas	Sabrosa hamburguesa acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.	Camaleón	500
Helado Soft	Helado cremoso de vainilla, chocolate o mixto en barquillo crujiente.	Camaleón	500
Helado Sundae	Helado cremoso en vaso, sabor vainilla, chocolate o mixto, con salsa de manjar, chocolate o frambuesa.	Camaleón	500
Horario nocturno	Eventos finalizados posterior a las 23.30 hrs (aseguramos retorno seguro de operador)	Camaleón	500
Horas extras	horarario extendido servicio con operador. ($10.000 por cada operado).	Camaleón	500
Hot dog (salchichas Montina)  Italiano.	La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua 17 cm diametro.	Camaleón	500
Hot Dog Completo	Pan lengua, salchicha sureña, tomate picado, salsa verde, ají verde	Camaleón	500
Hot Dog Venezolano	Salchicha sureña con papas hilo, ensalada repollo/zanahoria, queso parmesano rallado.	Camaleón	500
Hot dog.	La clásica combinación de salchicha sureña,envuelta en un suave pan Lengua.  + salsas : Mayonesa, ketchup y mostaza.	Camaleón	500
HotDog Camaleón	Salchicha sureña con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.	Camaleón	500
HotDog camaleon vegetariano	Salchicha mr veggie con palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, en un pan Lengua.	Camaleón	500
HotDog Italiano	La clásica combinación de salchicha sureña, palta fresca y tomate cubo, envuelta en un suave pan Lengua.	Camaleón	500
HotDog italiano vegetariano	La clásica combinación de salchicha MR VEGGIE, palta fresca y tomate cubo, envuelta en un suave pan Lengua.	Camaleón	500
ingrediente extra	porciones de champiñon.	Camaleón	500
Ingredientes extra	porciones de salsa americana + chucrut.	Camaleón	500
Liquidos calientes	Café, té, leche y/o infusiones.	Camaleón	500
Liquidos Frios	Jugos jumex o golden juice  y  Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.	Camaleón	500
Lomito Camaleón	Sabrosa carne de cerdo con queso, palta fresca, tomate y cebolla caramelizada, en un suave pan brioche.	Camaleón	500
Lomito Italiano	Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.	Camaleón	500
Mani confitado	Delicioso mani confiado, porcion de 80 gr.	Camaleón	500
Mechada		Camaleón	500
Mechada Italiana	Mechada de vacuno con palta fresca y tomate laminado, servida en un pan brioche suave.	Camaleón	500
Mechada Italiana Camaleón	Mechada de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada en un pan brioche.	Camaleón	500
Medialuna	Exquisita Medialuna recién horneada.	Camaleón	500
Mini AS Italiano	Vacuno con palta fresca y tomate, servido en un mini pan baguette.	Camaleón	500
Mini AS Luco	Vacuno con queso fundido en un mini pan baguette.	Camaleón	500
Mini Burger Cheese	Mini hamburguesa casera con queso derretido, BBQ y cebolla caramelizada en un mini pan amasado.	Camaleón	500
Mini Burger Clásica	Mini hamburguesa con queso, tomate fresco y lechuga crujiente, en un delicioso mini pan amasado.	Camaleón	500
Mini Burger especial	Mini hamburguesa con queso, tocino, champiñon lechuga crujiente salsa bbq, en un delicioso mini pan amasado.	Camaleón	500
Mini Burger Italiana	Mini hamburguesa con palta fresca y tomate, servida en un mini pan amasado.	Camaleón	500
Mini Churrasco Italiano	Churrasco de vacuno con palta fresca y tomate laminado en un mini pan amasado.	Camaleón	500
Mini HotDog Italiano	Salchicha sureña con palta fresca y tomate cubo, envuelta en un mini pan baguette.	Camaleón	500
Mini Lomito Italiano	Lomito de cerdo con palta fresca y tomate cubo en un mini pan amasado.	Camaleón	500
Mini Mechada Italiana	Mechada de vacuno con palta fresca y tomate en un mini pan amasado.	Camaleón	500
Mix Dulces chilenos	3 unidades	Camaleón	500
Modulo grande	Medidas:     grafica frontal inferior 155,5  largo x 83 cm /  Grafica cenefa superior: 155,5 largo x 15 cm ancho	Camaleón	500
Mote con huesillo.	Mote con huesillo , formato sellado 330 ml . Incluye: Cuchara desechable. Marca Pehuén	Camaleón	500
Fruta.	Naranja, manzana o platano.	Camaleón	500
Muffin	Muffin tradicional con exquisitos chips de chocolate, o con refrescantes arándonos.	Camaleón	500
not burguer (INTERCAMBIO)	Hamburguesa vegetariana hecha en base a plantas	Camaleón	500
Not burguer clasica	Sabrosa not burguer  acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.	Camaleón	500
Not burguer Italiana Camaleón	Deliciosa not burguer con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.	Camaleón	500
NOTburger italiana	Sabrosa Not butguer con palta fresca y tomate laminado en un suave pan brioche.	Camaleón	500
Nuggets	Tres piezas de nuggets de pollo dorados y tiernos.	Camaleón	500
Operador a cargo de la entrega de productos.		Camaleón	500
Pack individual	"Caja Box
2 empandas de pino : Deliciosa masa tradicional empanadas de pino carne picada.  3.100 c/u
1 Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional.   $1.500
1 Caja box  1.300 "	Camaleón	500
Papas Fritas	Porción de 150 grs de papas frita.	Camaleón	500
Papas Smile	Porcion de papas fritas smile 6 unidades.	Camaleón	500
Personal extra	Operadores de servicio extra.	Camaleón	500
Pizza individual 20 cms	Pizza medida especial 20 cms.	Camaleón	500
Pizza Jamón queso	Pizza individual con jamón, queso derretido y orégano.	Camaleón	500
Pizza Pepperoni	Pizza individual con pepperoni crujiente y queso derretido.	Camaleón	500
Pizza Veggie	Queso fundido, aceitunas, espárragos y granos de choclo sobre salsa de tomate.	Camaleón	500
Pizzeta Jamón Queso	Dos mini pizzetas con jamón, queso derretido y un toque de orégano.	Camaleón	500
Pizzeta Pepperoni	Dos mini pizzetas con pepperoni y queso gratinado.	Camaleón	500
Pizzeta Veggie	Dos mini pizzetas con choclo, pimentón y aceitunas.	Camaleón	500
Pop Corn	Maíz inflado y crujiente, servido en un cono de papel.	Camaleón	500
Pop Corn Envasadas	Pop corn envasado en vaso de 12 oz	Camaleón	500
Queso Cheddar	Queso cheddar derretido y suave, con un sabor intenso.	Camaleón	500
Queso Mantecoso	Queso mantecoso cremoso y suave, perfecto para añadir un toque especial.	Camaleón	500
Retiro salchichas tienda montina		Camaleón	500
Salchipapas.	Papa pre frita y salchicha pf sureña, porción estandar 250gr , con  opcion de ser condimentadas	Camaleón	500
Salsa Americana	Salsa americana, sabrosa y llena de sabor.	Camaleón	500
Salsa Verde	Salsa verde fresca, con un toque de acidez y hierbas.	Camaleón	500
Sopaipillas.	sopaipilla porcion de 2 unidades incluye pebre, tamaño estandar	Camaleón	500
Supervisor a cargo del servicio.		Camaleón	500
Personal adiconal	Operador para montaje, servir espumante y vino.	Camaleón	500
traslado, montaje, desmontaje, carritos dia del evento.	Pepinillos dulces, crocantes y llenos de sabor.	Camaleón	500
Traslados a 5 puntos simultaneos.	Traslados a 5 puntos.	Camaleón	500
Vaso de fruta.	Vaso con mix frutas de las temporada.	Camaleón	500
Vaso Desechale	Vaso desechable.	Camaleón	500
Waffles	Waffles recién hechos con plátano, frutillas y salsa de chocolate.	Camaleón	500
Wraps Mechada Camaleón	Mechada de vacuno con mix de lechugas, guacamole fresco, queso granulado y crema ácida, en una tortilla suave.	Camaleón	500
Wraps Mechada Clásica	Deliciosa mechada de vacuno con mix de lechugas, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla suave.	Camaleón	500
Wraps Mixto Camaleón	Sabrosa mezcla de vacuno y pollo con lechuga fresca, guacamole y queso granulado, cebolla caremelizada, porotos negros, envuelto en una tortilla.	Camaleón	500
Wraps Mixto Clásico	Mezcla de vacuno y pollo con lechugas frescas, guacamole y queso granulado, todo en una suave tortilla.	Camaleón	500
Wraps Pollo Camaleón	Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.	Camaleón	500
Wraps Pollo Clásico	Pollo con lechuga fresca, guacamole, queso granulado y un toque de crema ácida, envuelto en una tortilla.	Camaleón	500
Mini wraps pollo Clásico	Pollo con mix de lechuga fresca, guacamole, queso granulado y crema ácida en una suave tortilla.	Camaleón	500
Wraps Vacuno Camaleón	Vacuno con lechuga fresca, guacamole, queso granulado y crema ácida, envuelto en una tortilla.	Camaleón	500
Wraps Vacuno Clásico	Vacuno con mix de lechugas, exquisito guacamole, queso granulado y crema ácida, envuelto en una tortilla.	Camaleón	500
Coffee AM	Jugo / Café / Muffin	Camaleón	500
Helado Paleta	Variedad helados envasados	Camaleón	500
Estación de frutas	Manzana, Pera, Naranja.	Camaleón	500
Estación de Hidratación	Estación de agua purificada ilimitada	Camaleón	500
Jugo en caja	Jugo en formato caja Watts.	Camaleón	500
Empanadas de queso	Exquisita empanada de queso.	Camaleón	500
Pizza Individual	Exquisita pizza individual / variedad de sabores.	Camaleón	500
Pizzeta	Irresisteble pizzeta con variedad de sabores. 2 unidades por porción.	Camaleón	500
Algodón de azúcar envasado	Algodón de azúcar envasado en vaso de 12 oz	Camaleón	500
Brocheta de Frutillas	Palito con frutillas con salsa de chocolate.	Camaleón	500
Jugo Guallarauco	Jugo en vaso 10oz c/tapa y bombilla. 2 sabores.	Camaleón	500
Carro Vintage	Montaje de carrito Vintage/Blanco	Camaleón	500
Porción pepinillos	Porción extra pepinillos dill	Camaleón	500
Tapaditos	Exquisitos tapaditos para coffee break, variedad de sabores a elección.	Camaleón	500
Cheese Burger	Sabrosa hamburguesa acompañado con queso, servida en un pan brioche.	Camaleón	500
Anticucho Especial	Brocheta de mix de carnes Ariztia y verduras (pimentón, cebolla)	Camaleón	500
Horario Especial	Horario especial operadores (madrugada, a.m)	Camaleón	500
Sticker Pop Corn	Sticker 5 cms de diámetro para Vaso Pop Corn	Camaleón	500
Pop corn vaso 500cc	Pop corn crujiente en vaso de 500cc	Camaleón	500
Algodón de azúcar vaso 500cc	Exquisito algodón de azúcar en vaso de 500cc	Camaleón	500
Hamburguesa especial 250grs	Hamburguesa 250 grs con queso y lechuga, todo en un exquisito pan Brioche	Camaleón	500
Caja churro	Caja para churro personal externo.	Camaleón	500
Churros españoles x3	Tres churros dorados y espolvoreados con azúcar flor.	Camaleón	500
Choripan ariztia	"Pan Marraqueta - Chorizo ariztia
Incluye : Pebre (tomate picado, cebolla, cilantro).  + salsas : Mayonesa, ketchup y mostaza."	Camaleón	500
Personal general	personal general : choferes, operadores a cargo del entrega, montaj y entrega de productos	Camaleón	500
Hornos	"\n2 hornosa electricos"	Camaleón	500
Salsas  extras	Chucrut,   pepinillos dill y  salsaverde	Camaleón	500
montaje	carros a gas + 2 modulos entrega + estacion papas fritas + maquina pop corn.  + Maquina helados ( 6 operadores)	Camaleón	500
Ingrediente extra P	Porcion pepinillos dulces, crocantes .	Camaleón	500
entrega servicio + personal y equipamiento.	entrega servicio + personal y equipamiento.	Camaleón	500
Agua mineral	Botella agua mineral formato 600 ml.	Gourmet	500
Ají Verde		Gourmet	500
Algodón de azúcar	Entregadas en vaso de 360cc. Color a elección del cliente.	Gourmet	500
As Gourmet	Pan Lengua 17 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.	Gourmet	500
As Gourmet XL	Pan Lengua 25 cms, Churrasco Picado, Queso Cheddar, Champiñones, Cebolla Caramelizada y Salsa Bbq.	Gourmet	500
As Italiano	Pan Lengua 17 cms, ChurrascoPicado, Palta Hass, Tomate Fresco Picado.	Gourmet	500
As Italiano XL	Pan Lengua 25 cms, Churrasco Picado, Palta Hass, Tomate Fresco Picado.	Gourmet	500
As Luco	Pan Lengua 17 cms, Churrasco Picado y Queso Cheddar.	Gourmet	500
As Luco XL	Pan Lengua 25 cms, Churrasco Picado y Queso Cheddar.	Gourmet	500
Bebida en lata	Bebidas 350 CC (ANDINAS) Incluye: Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.	Gourmet	500
Branding Carro Clásico	Gráfica carro clásico	Gourmet	500
Brocheta de fruta	Plátano - Frutilla / Marshmallow con salsa de chocolate.	Gourmet	500
Cabritas Dulces	Entregadas en vaso de 360cc.	Gourmet	500
Cafe Caliente	Incluye endulzante o azúcar, revolvedor y vaso térmico desechable	Gourmet	500
Carro Blanco	Carro blanco mediano	Gourmet	500
Porción Cebolla caramelizada		Gourmet	500
Chocolate Caliente y decoración		Gourmet	500
Choripan		Gourmet	500
Churrasco Gourmet	Pan Brioche 10 cms, Churrasco Picado, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.	Gourmet	500
Churrasco Italiano	Pan Brioche 10 cms, Churrasco Picado, Palta Hass y Tomate Fresco Picado.	Gourmet	500
Churrasco Luco	Pan Brioche 10 cms, Churrasco Picado y Queso.	Gourmet	500
Churros españoles	Churro tradicional envuelto en azúcar flor, 2 unidades	Gourmet	500
Churros Rellenos	Churro tradicionales relleno con manjar.	Gourmet	500
Cotton Candy	Algodón de azúcar.	Gourmet	500
Crepes	Crepes dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows	Gourmet	500
Empanadas cóctel	Porción 3 unidades rellenas con queso.	Gourmet	500
Empanadas	pino o queso.	Gourmet	500
Envase Personalizado		Gourmet	500
Hamburguesa Queso	Pan Brioche 10 cms, Burger de 100 grs y Queso Cheddar o Mantecoso.	Gourmet	500
Hamburguesa Clasica	Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.	Gourmet	500
Hamburguesa Clasica Veggie		Gourmet	500
Hamburguesa Gourmet	Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.	Gourmet	500
Hamburguesa Gourmet Veggie		Gourmet	500
Hamburguesa Italiana	Pan Brioche 10 cms, Burger de 100 grs, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Hamburguesa italiana Veggie		Gourmet	500
hamburguesa personalizada	Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca , Queso, cebolla morada y pepinillos.	Gourmet	500
Helado Soft	Helado soft chocolate, vainilla o mixto en cono de barquillo.	Gourmet	500
Helados en Cono	Helado soft chocolate, vainilla o mixto en cono de barquillo.	Gourmet	500
Helado Sundae	Helado soft chocolate, vainilla o mixto en vaso en plástico, salsa de chocolate y toppings(cobertura).	Gourmet	500
Hora extra por operador		Gourmet	500
Hot Dog	Pan Lengua 17cm, Salchicha PF Sureña 15cm.	Gourmet	500
Hot Dog Dinámico	Pan Lengua 17 cms, Salchicha PF Sureña 15 cms, Tomate Fresco Picado, Salsa Americana y Salsa Verde.	Gourmet	500
Hot Dog Dinámico XL	Pan Lengua 25 cms, Salchicha PF Sureña XL, Tomate Fresco Picado, Salsa Americana y Salsa Verde.	Gourmet	500
Hot Dog Gourmet	Pan Lengua 17cm, Salchicha PF Sureña15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.	Gourmet	500
Hot Dog Gourmet Veggie	Pan Lengua 17cm, Salchicha Vegusta 15cms, Queso, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.	Gourmet	500
Hot Dog Gourmet XL	Pan Lengua 25cm, Salchicha PF Sureña XL, Queso Cheddar, Champiñones Salteados, Cebolla Caramelizada, Salsa Bbq.	Gourmet	500
Hot Dog Italiano	Pan Lengua 17cm, Salchicha PF Sureña 15cm, Tomate Fresco Picado, Palta Hass.	Gourmet	500
Hot Dog Italiano Vegetariano	Pan Lengua 17cm, Salchicha Vegusta, Tomate Fresco Picado, Palta Hass.	Gourmet	500
Hot Dog Italiano XL	Pan Lengua 25cm, Salchicha PF Sureña XL,, Tomate Fresco Picado y Palta Hass.	Gourmet	500
Hot dog Veggie		Gourmet	500
Jugos Naturales	Incluye: 2 Sabores a elección: Frutilla, Durazno, Piña, Papaya, Melón Tuna.	Gourmet	500
Jugo en lata		Gourmet	500
Líquidos calientes	Café, té o chocolate caliente. Incluye endulzante o azúcar, revolvedor y vaso térmico desechable	Gourmet	500
Lomito Gourmet	Pan Brioche 10 cms, Lomo de cerdo, Queso Cheddar, Champiñones Salteados, Salsa Bbq y Cebolla Caramelizada	Gourmet	500
Lomito Italiano	Pan Brioche 10 csm, Lomo de Cerdo, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Lomito Italiano	Lomito de cerdo acompañado de palta fresca y tomate laminado en un pan brioche esponjoso.	Gourmet	500
Lomito Luco	Pan Brioche 10 cms, Lomo de Cerdo y Queso.	Gourmet	500
Mechada Clásica	Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Lechuga Fresca y Queso Mantecoso.	Gourmet	500
Mechada Gourmet	Pan Brioche 10 cms, Mechada de Vacuno, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.	Gourmet	500
Mechada Gourmet veggie	Pan Brioche 10 cms, hamburguesa not burguet, Tomates Laminados Fresco, Palta Hass, Cebolla Caramelizada, Aji Verde, Salsa Americana.	Gourmet	500
Mechada Italiana	Pan Brioche 10 cms, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Medialuna	Exquisita medialuna crujiente.	Gourmet	500
Mini As Italiano	Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Picado Fresco.	Gourmet	500
Mini As Luco	Pan Amasado Mini, Churrasco de Vacuo y Queso Cheddar.	Gourmet	500
Mini Bebida	bebida en lata individual 220 cc, Coca Cola Normal, Coca Cola Zero, Sprite, Fanta.	Gourmet	500
Mini Burger Clásica	Pan Amasado Mini, Burger Casera 60 grs, Queso Cheddar, Lechuga Fresca y Tomate Laminado Fresco.	Gourmet	500
Mini Burger Italiana	Pan Amasado Mini, Burger Casera 60 grs, Palta Hass, y Tomate Laminado Fresco.	Gourmet	500
Mini CheeseBurger	Pan Amasado Mini, Burger Casera de 60 grs, Queso Cheddar y Cebolla Caramelizada.	Gourmet	500
Mini Churrasco Italiano	Pan Amasado Mini, Churrasco de Vacuno, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Mini Hot Dog Italiano	Pan lengua Mini, Salchicha Sureña, Palta Hass y Tomate Picado Fresco.	Gourmet	500
Mini Lomito Italiano	Pan Amasado Mini, Lomito de Cerdo, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Mini Mechada Italiana	Pan Amasado Mini, Mechada de Vacuno, Palta Hass y Tomate Laminado Fresco.	Gourmet	500
Montaje		Gourmet	500
Nuggets	Porción de 3 unidades de Nuggets	Gourmet	500
Papa Fritas Natural	Papa fritas natural tipo rusticas	Gourmet	500
Papa Smile		Gourmet	500
Papas Fritas	Porción de papas fritas 150 grs.	Gourmet	500
Papas fritas 200 grs	Porción de papas fritas 200 grs.	Gourmet	500
Pizza Artesanal Personalizada	Pizza individual artesanal 18 cms	Gourmet	500
Pizza Individual	Pizzas individuales 16 cm. Sabores disponibles: Jamón Queso - Pepperoni - Veggie	Gourmet	500
Pizzetas	2 Unidades de pizzeta. Sabores: Jamón Queso - Pepperoni - Veggie.	Gourmet	500
Pop Corn	Palomitas de Maíz 40 gr aprox.	Gourmet	500
PopCorn Personalizado		Gourmet	500
Pulled Pork Gourmet	Pan Brioche 10 cms, Pulled Pork, Lechuga Fresca, Tomate Fresco Laminado, Aji Verde, Cebolla Caramelizada, Chucrut y Salsa Americana.	Gourmet	500
Pulled Pork Italiano	Pan Brioche 10 cms, Pulled Pork, Palta Hass y Tomate Fresco Picado.	Gourmet	500
Salchipapas		Gourmet	500
Salsa Americana		Gourmet	500
Salsa Verde		Gourmet	500
Sandwich Vegetariano	"Intercambio proteina por Not burguer vegetariana para sandwich y salchicha Mr veggie para hot dog"	Gourmet	500
Smash Burger Clasica	Pan Brioche 10 cms, Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca y Queso.	Gourmet	500
Smash Burger Gourmet	Pan Brioche 10 cms, Burger de 100 grs, Lechuga Fresca, Tomate Laminado Fresco, Queso, Cebolla Caramelizada, Papas Hilo y Salsa Americana.	Gourmet	500
Sopaipilla	2 unidades por porcion	Gourmet	500
Traslado		Gourmet	500
Waffles	Waffles dulces: incluye waffle dulce, frutas de la estación, salsas de frambuesa, manjar y chocolate, chips de colores, marshmallows	Gourmet	500
Wraps Clásico	Tortilla XL, Churrasco Picado, Guacamole, Queso Granulado, Mix de Lechuga, y Crema Acida.	Gourmet	500
Wraps Gourmet	Tortilla XL, carne mechada, Guacamole, Queso Granulado, Mix de Lechuga, Porotos Negros y Crema Acida.	Gourmet	500
Wraps Pollo	Tortilla XL, Pollo, Guacamole, Queso Granulado, Mix de Lechuga y Crema Acida.	Gourmet	500
Pizza Jamón queso		Gourmet	500
Pizza Pepperoni		Gourmet	500
Pizza Veggie		Gourmet	500
Pizzeta Jamón Queso		Gourmet	500
Pizzeta Pepperoni		Gourmet	500
Pizzeta Veggie		Gourmet	500
Porción Queso	Cheddar o Mantecoso	Gourmet	500
Pizza Artesanal		Gourmet	500
Bidon de agua 5 lt		Gourmet	500
Donuts		Gourmet	500
Chucrut		Gourmet	500
Envase sandwich		Gourmet	500
Hot Dog Italiano veggie XL		Gourmet	500
Hot Dog Dinamico veggie XL		Gourmet	500
Pack Revisión Técnica	"2 Hamburguesas (Burger de 100 grs, Tomate Laminado Fresco, Lechuga Fresca, Queso, palta hass y cebolla caramelizada, todo en un suave pan brioche).
2 Bebidas lata 355 ml.
1 Churro Relleno.
1 Papas Fritas 150 grs."	Gourmet	500
Operador		Gourmet	500
Hot Dog + Papas fritas		Gourmet	500
Chocolate Caliente		Gourmet	500
Muffin		Gourmet	500
Wraps Vacuno		Gourmet	500
Mini Churro		Gourmet	500
Branding Modulo		Gourmet	500
Entrega de sticker		Gourmet	500
Choclo		Gourmet	500
Hot Dog Premium		Gourmet	500
Hamburguesa, queso y tocino.		Gourmet	500
Branding Pop Corn		Gourmet	500
Granizados	Sabores: frambuesa, chicle azul, uva, melon tuna, piña colada, mango maracuya (según disponibilidad)	Gourmet	500
Bebida 500cc Bilz		Gourmet	500
Empanada de Pino	Carne lomo picada	Gourmet	500
Anticucho	Brocheta 35cm, 150 gr., Carne, Cerdo, Longaniza, Pimenton, Cebolla	Gourmet	500
Mote con huesillo		Gourmet	500
Choripan	Incluye 20gr. pebre	Gourmet	500
Dulces chilenos	Porcion de 3 pasteles:   Principe merengue, chilenito, empolvados	Gourmet	500
Helados Savory	Variedades	Gourmet	500
Porciones de Fruta	Plátano, manzana y naranja 300gr	Gourmet	500
Tapaditos		Gourmet	500
Pollo Italiano	Pan Brioche 10 cms, escalopín de pollo, Palta Hass y Tomate Fresco Picado	Gourmet	500
Not Burguer Italiana	Pan Brioche 10 cms, NOTburger, Palta Hass y Tomate Laminado Fresco	Gourmet	500
Carro blanco con gráfica		Gourmet	500
Branding módulos		Gourmet	500
Supervisor		Gourmet	500
Empanadas chica		Gourmet	500
Cerveza sin alcochol		Gourmet	500
Terremoto sin alcohol		Gourmet	500
Hot Dog Dinamico veggie		Gourmet	500
Cachantun + sabores		Gourmet	500
Pizza Individual Napolitana		Gourmet	500
Wraps Vegetarianos		Gourmet	500
Bidon 20 lt		Gourmet	500
